id;date;count
1;12.10.18;5
2;13.10.18;4
3;14.10.18;6
4;15.10.18;6
5;16.10.18;6,5
6;17.10.18;7
7;18.10.18;7,5
8;19.10.18;8
9;20.10.18;8,5
10;21.10.18;9
11;22.10.18;9,5
12;23.10.18;10
13;24.10.18;10,5
14;25.10.18;11
15;26.10.18;11,5
16;27.10.18;12
17;28.10.18;12,5
18;29.10.18;13
19;30.10.18;13,5
20;31.10.18;14
21;01.11.18;14,5
22;02.11.18;15
23;03.11.18;15,5
24;04.11.18;16
25;05.11.18;16,5
26;06.11.18;17
27;07.11.18;17,5
28;08.11.18;18
29;09.11.18;18,5
30;10.11.18;19
31;11.11.18;19,5
32;12.11.18;20
33;13.11.18;20,5
34;14.11.18;21
35;15.11.18;21,5
36;16.11.18;22
37;17.11.18;22,5
38;18.11.18;23
39;19.11.18;23,5
40;20.11.18;24
41;21.11.18;24,5
42;22.11.18;25
43;23.11.18;25,5
44;24.11.18;26
45;25.11.18;26,5
46;26.11.18;27
47;27.11.18;27,5
48;28.11.18;28
49;29.11.18;28,5
50;30.11.18;29
51;01.12.18;29,5
52;02.12.18;30
53;03.12.18;30,5
54;04.12.18;31
55;05.12.18;31,5
56;06.12.18;32
57;07.12.18;32,5
58;08.12.18;33
59;09.12.18;33,5
60;10.12.18;34
61;11.12.18;34,5
62;12.12.18;35
63;13.12.18;35,5
64;14.12.18;36
65;15.12.18;36,5
66;16.12.18;37
67;17.12.18;37,5
68;18.12.18;38
69;19.12.18;38,5
70;20.12.18;39
71;21.12.18;39,5
72;22.12.18;40
73;23.12.18;40,5
74;24.12.18;41
75;25.12.18;41,5
76;26.12.18;42
77;27.12.18;42,5
78;28.12.18;43
79;29.12.18;43,5
80;30.12.18;44
81;31.12.18;44,5
82;01.01.19;45
83;02.01.19;45,5
84;03.01.19;46
85;04.01.19;46,5
86;05.01.19;47
87;06.01.19;47,5
88;07.01.19;48
89;08.01.19;48,5
90;09.01.19;49
91;10.01.19;49,5
92;11.01.19;50
93;12.01.19;50,5
94;13.01.19;51
95;14.01.19;51,5
96;15.01.19;52
97;16.01.19;52,5
98;17.01.19;53
99;18.01.19;53,5
100;19.01.19;54
101;20.01.19;54,5
102;21.01.19;55
103;22.01.19;55,5
104;23.01.19;56
105;24.01.19;56,5
106;25.01.19;57
107;26.01.19;57,5
108;27.01.19;58
109;28.01.19;58,5
110;29.01.19;59
111;30.01.19;59,5
112;31.01.19;60
113;01.02.19;60,5
114;02.02.19;61
115;03.02.19;61,5
116;04.02.19;62
117;05.02.19;62,5
118;06.02.19;63
119;07.02.19;63,5
120;08.02.19;64
121;09.02.19;64,5
122;10.02.19;65
123;11.02.19;65,5
124;12.02.19;66
125;13.02.19;66,5
126;14.02.19;67
127;15.02.19;67,5
128;16.02.19;68
129;17.02.19;68,5
130;18.02.19;69
131;19.02.19;69,5
132;20.02.19;70
133;21.02.19;70,5
134;22.02.19;71
135;23.02.19;71,5
136;24.02.19;72
137;25.02.19;72,5
138;26.02.19;73
139;27.02.19;73,5
140;28.02.19;74
141;01.03.19;74,5
142;02.03.19;75
143;03.03.19;75,5
144;04.03.19;76
145;05.03.19;76,5
146;06.03.19;77
147;07.03.19;77,5
148;08.03.19;78
149;09.03.19;78,5
150;10.03.19;79
151;11.03.19;79,5
152;12.03.19;80
153;13.03.19;80,5
154;14.03.19;81
155;15.03.19;81,5
156;16.03.19;82
157;17.03.19;82,5
158;18.03.19;83
159;19.03.19;83,5
160;20.03.19;84
161;21.03.19;84,5
162;22.03.19;85
163;23.03.19;85,5
164;24.03.19;86
165;25.03.19;86,5
166;26.03.19;87
167;27.03.19;87,5
168;28.03.19;88
169;29.03.19;88,5
170;30.03.19;89
171;31.03.19;89,5
172;01.04.19;90
173;02.04.19;90,5
174;03.04.19;91
175;04.04.19;91,5
176;05.04.19;92
177;06.04.19;92,5
178;07.04.19;93
179;08.04.19;93,5
180;09.04.19;94
181;10.04.19;94,5
182;11.04.19;95
183;12.04.19;95,5
184;13.04.19;96
185;14.04.19;96,5
186;15.04.19;97
187;16.04.19;97,5
188;17.04.19;98
189;18.04.19;98,5
190;19.04.19;99
191;20.04.19;99,5
192;21.04.19;100
193;22.04.19;100,5
194;23.04.19;101
195;24.04.19;101,5
196;25.04.19;102
197;26.04.19;102,5
198;27.04.19;103
199;28.04.19;103,5
200;29.04.19;104
201;30.04.19;104,5
202;01.05.19;105
203;02.05.19;105,5
204;03.05.19;106
205;04.05.19;106,5
206;05.05.19;107
207;06.05.19;107,5
208;07.05.19;108
209;08.05.19;108,5
210;09.05.19;109
211;10.05.19;109,5
212;11.05.19;110
213;12.05.19;110,5
214;13.05.19;111
215;14.05.19;111,5
216;15.05.19;112
217;16.05.19;112,5
218;17.05.19;113
219;18.05.19;113,5
220;19.05.19;114
221;20.05.19;114,5
222;21.05.19;115
223;22.05.19;115,5
224;23.05.19;116
225;24.05.19;116,5
226;25.05.19;117
227;26.05.19;117,5
228;27.05.19;118
229;28.05.19;118,5
230;29.05.19;119
231;30.05.19;119,5
232;31.05.19;120
233;01.06.19;120,5
234;02.06.19;121
235;03.06.19;121,5
236;04.06.19;122
237;05.06.19;122,5
238;06.06.19;123
239;07.06.19;123,5
240;08.06.19;124
241;09.06.19;124,5
242;10.06.19;125
243;11.06.19;125,5
244;12.06.19;126
245;13.06.19;126,5
246;14.06.19;127
247;15.06.19;127,5
248;16.06.19;128
249;17.06.19;128,5
250;18.06.19;129
251;19.06.19;129,5
252;20.06.19;130
253;21.06.19;130,5
254;22.06.19;131
255;23.06.19;131,5
256;24.06.19;132
257;25.06.19;132,5
258;26.06.19;133
259;27.06.19;133,5
260;28.06.19;134
261;29.06.19;134,5
262;30.06.19;135
263;01.07.19;135,5
264;02.07.19;136
265;03.07.19;136,5
266;04.07.19;137
267;05.07.19;137,5
268;06.07.19;138
269;07.07.19;138,5
270;08.07.19;139
271;09.07.19;139,5
272;10.07.19;140
273;11.07.19;140,5
274;12.07.19;141
275;13.07.19;141,5
276;14.07.19;142
277;15.07.19;142,5
278;16.07.19;143
279;17.07.19;143,5
280;18.07.19;144
281;19.07.19;144,5
282;20.07.19;145
283;21.07.19;145,5
284;22.07.19;146
285;23.07.19;146,5
286;24.07.19;147
287;25.07.19;147,5
288;26.07.19;148
289;27.07.19;148,5
290;28.07.19;149
291;29.07.19;149,5
292;30.07.19;150
293;31.07.19;150,5
294;01.08.19;151
295;02.08.19;151,5
296;03.08.19;152
297;04.08.19;152,5
298;05.08.19;153
299;06.08.19;153,5
300;07.08.19;154
301;08.08.19;154,5
302;09.08.19;155
303;10.08.19;155,5
304;11.08.19;156
305;12.08.19;156,5
306;13.08.19;157
307;14.08.19;157,5
308;15.08.19;158
309;16.08.19;158,5
310;17.08.19;159
311;18.08.19;159,5
312;19.08.19;160
313;20.08.19;160,5
314;21.08.19;161
315;22.08.19;161,5
316;23.08.19;162
317;24.08.19;162,5
318;25.08.19;163
319;26.08.19;163,5
320;27.08.19;164
321;28.08.19;164,5
322;29.08.19;165
323;30.08.19;165,5
324;31.08.19;166
325;01.09.19;166,5
326;02.09.19;167
327;03.09.19;167,5
328;04.09.19;168
329;05.09.19;168,5
330;06.09.19;169
331;07.09.19;169,5
332;08.09.19;170
333;09.09.19;170,5
334;10.09.19;171
335;11.09.19;171,5
336;12.09.19;172
337;13.09.19;172,5
338;14.09.19;173
339;15.09.19;173,5
340;16.09.19;174
341;17.09.19;174,5
342;18.09.19;175
343;19.09.19;175,5
344;20.09.19;176
345;21.09.19;176,5
346;22.09.19;177
347;23.09.19;177,5
348;24.09.19;178
349;25.09.19;178,5
350;26.09.19;179
351;27.09.19;179,5
352;28.09.19;180
353;29.09.19;180,5
354;30.09.19;181
355;01.10.19;181,5
356;02.10.19;182
357;03.10.19;182,5
358;04.10.19;183
359;05.10.19;183,5
360;06.10.19;184
361;07.10.19;184,5
362;08.10.19;185
363;09.10.19;185,5
